candle,elapsed_s,timestamp_utc,timestamp_ms,utc_hour,utc_minute,day_of_week,trading_session,session_phase,spot_start,spot_now,spot_chg,btc_price_ms,pm_price_ms,price_read_gap_ms,up_ask,dn_ask,pair_cost,price_source,clob_sane,oracle_lag_signal,pm_implied_dir,btc_implied_dir,pm_btc_agree,direction,confidence,up_prob,bb_position,rsi_5m,macd_histogram,stoch_k,momentum_short,volatility_5m,trend_alignment,spot_velocity,direction_changes,scan_count,peak_conf_so_far,conf_drop_from_peak,winner,final_spot_chg,was_correct,would_trade,would_trade_reason,btc_volume_5m,btc_vol_ratio,macro_trend_15m,macro_strength,ob_imbalance,ob_bid_usd,ob_ask_usd,funding_rate,futures_basis,agg_btc_price,price_sources
27,6.18,2026-04-09 21:55:06.181,1775771706181,21,55,Thu,after_hours,low_vol,72291.99,72291.99,0.0,1775771705049,1775771706180,1131,0.51,0.48,0.99,websocket,1,,EVEN,UP,0,DN,0.55,0.45,0.3405,45.86,12.3639,0.0,-0.0004,0.0004,-1,0.0,0,1,0.55,0.0,,,,0,too_early (T=6s),,,,,,,,,,,
27,7.18,2026-04-09 21:55:07.184,1775771707184,21,55,Thu,after_hours,low_vol,72291.99,72297.63,5.64,1775771706884,1775771707183,299,0.51,0.48,0.99,websocket,1,,EVEN,UP,0,DN,0.5218,0.4782,0.3607,45.86,12.3639,3.56,-0.0003,0.0004,-1,0.7851,0,2,0.55,0.0282,,,,0,too_early (T=7s),,,,,,,,,,,
27,8.19,2026-04-09 21:55:08.187,1775771708187,21,55,Thu,after_hours,low_vol,72291.99,72297.63,5.64,1775771708173,1775771708187,14,0.51,0.48,0.99,websocket,1,,EVEN,UP,0,DN,0.5218,0.4782,0.3607,45.86,12.3639,3.56,-0.0003,0.0004,-1,0.6889,0,3,0.55,0.0282,,,,0,too_early (T=8s),,,,,,,,,,,
27,9.19,2026-04-09 21:55:09.191,1775771709191,21,55,Thu,after_hours,low_vol,72291.99,72297.63,5.64,1775771708475,1775771709190,715,0.51,0.48,0.99,websocket,1,,EVEN,UP,0,DN,0.5218,0.4782,0.3607,45.86,12.3639,3.56,-0.0003,0.0004,-1,0.6137,0,4,0.55,0.0282,,,,0,too_early (T=9s),,,,,,,,,,,
27,10.19,2026-04-09 21:55:10.194,1775771710194,21,55,Thu,after_hours,low_vol,72291.99,72297.63,5.64,1775771708475,1775771710193,1718,0.51,0.48,0.99,websocket,1,,EVEN,UP,0,DN,0.5218,0.4782,0.3607,45.86,12.3639,3.56,-0.0003,0.0004,-1,0.5533,0,5,0.55,0.0282,,,,0,too_early (T=10s),,,,,,,,,,,
