timestamp,candle_start,side,entry_price,shares,cost,ml_confidence,book_signal,books_agree,spread,ev,ev_pct,btc_change_at_entry,rsi,minute_entered,outcome,profit,won
2026-02-05T01:16:18.171449,1770250500,UP,0.64,7.8125,5.0,0.7178300768358884,UP,True,0.015000000000000013,0.6080474752803777,0.12160949505607554,0.009467089429231263,99.93,1,UP,2.8125,True
2026-02-05T11:30:53.741948,1770287400,DN,0.56,8.928571428571427,5.0,0.7284912192565939,DN,True,0.010000000000000009,1.5043858862195867,0.3008771772439173,-0.02310488684391071,0.0,0,DN,3.928571428571427,True
2026-02-05T12:18:28.431898,1770290100,DN,0.36,13.88888888888889,5.0,0.6002254423167545,-,False,0,3.3364644766215896,0.6672928953243179,-0.18619084343198308,99.48,3,DN,8.88888888888889,True
2026-02-05T13:09:57.590390,1770292800,DN,0.6900000000000001,7.246376811594202,5.0,0.7208385343529733,DN,True,0.010000000000000009,0.22346764023893684,0.04469352804778737,0.0,50.0,9,DN,2.246376811594202,True
2026-02-05T13:33:34.845338,1770294600,DN,0.58,8.620689655172415,5.0,0.614649292666884,-,False,0,0.2987007988524484,0.05974015977048967,-0.01717157214645571,0.0,3,DN,3.6206896551724146,True
2026-02-05T13:46:24.498005,1770295500,DN,0.58,8.620689655172415,5.0,0.614649292666884,-,False,0,0.2987007988524484,0.05974015977048967,-0.012935567749569086,0.0,1,DN,3.6206896551724146,True
2026-02-05T14:01:37.531802,1770296400,DN,0.58,8.620689655172415,5.0,0.7102101630610889,DN,True,0.010000000000000009,1.122501405699042,0.2245002811398084,-0.01206026381105863,0.85,1,DN,3.6206896551724146,True
2026-02-05T21:35:24.764261,1770323400,DN,0.6,8.333333333333334,5.0,0.6308469659292884,-,False,0,0.2570580494107366,0.051411609882147324,-0.013627522640274219,0.0,5,DN,3.333333333333334,True
2026-02-05T21:45:14.196609,1770324300,UP,0.63,7.936507936507937,5.0,0.7142920953392158,UP,True,0.010000000000000009,0.66898488364457,0.133796976728914,0.009989463942748092,99.98,0,UP,2.9365079365079367,True
2026-02-05T22:00:44.040131,1770325200,UP,0.66,7.575757575757575,5.0,0.7354210419720371,UP,True,0.010000000000000009,0.5713715300911897,0.11427430601823793,0.01735145289395085,96.59,0,DN,-5.0,False
2026-02-05T22:15:47.978505,1770326100,DN,0.54,9.25925925925926,5.0,0.711607467571827,DN,True,0.009999999999999981,1.5889580330724726,0.3177916066144945,-0.017443888824279608,0.0,0,UP,-5.0,False
